name	png	w	h
FxIconSmall	fixture_icon_small.png	48	48
FxIconNotable	fixture_icon_notable.png	56	56
FxIconKeystone	fixture_icon_keystone.png	80	80
FxIconAscA	fixture_icon_asc_a.png	48	48
FxIconAscB	fixture_icon_asc_b.png	48	48
FxFrameSmallOff	fixture_frame_small_off.png	64	64
FxFrameSmallOn	fixture_frame_small_on.png	64	64
FxFrameNotableOff	fixture_frame_notable_off.png	96	96
FxFrameNotableOn	fixture_frame_notable_on.png	96	96
FxFrameKeystoneOff	fixture_frame_keystone_off.png	128	128
FxFrameKeystoneOn	fixture_frame_keystone_on.png	128	128
FxFrameAscOff	fixture_frame_asc_off.png	96	96
FxFrameAscOn	fixture_frame_asc_on.png	96	96
FxFrameClassStart	fixture_frame_class_start.png	48	48
AscendancyMiddle	fixture_asc_middle.png	100	100
FxMasteryGlow	fixture_mastery_glow.png	256	256
FaceAlpha	fixture_face_alpha.png	128	128
FaceBeta	fixture_face_beta.png	128	128
FxPanelAlpha	fixture_panel_alpha.png	256	256
FxPanelBeta	fixture_panel_beta.png	256	256
BGTree	fixture_bgtree.png	256	256
Background2	fixture_bg_tile.png	64	64
